"year","char","t","f","m"
1993,"a",0.109,0.115,0.102
1993,"b",0.025,0.019,0.03
1993,"c",0.046,0.056,0.036
1993,"d",0.065,0.041,0.088
1993,"e",0.029,0.031,0.027
1993,"f",0.041,0.031,0.052
1993,"g",0.022,0.022,0.022
1993,"h",0.009,0.007,0.011
1993,"i",0.019,0.02,0.019
1993,"j",0.065,0.069,0.061
1993,"k",0.029,0.027,0.032
1993,"l",0.077,0.091,0.063
1993,"m",0.122,0.116,0.127
1993,"n",0.044,0.05,0.038
1993,"o",0.011,0.006,0.017
1993,"p",0.03,0.02,0.04
1993,"q",0.001,0,0.002
1993,"r",0.047,0.038,0.056
1993,"s",0.121,0.147,0.094
1993,"t",0.041,0.038,0.044
1993,"u",0.002,0.001,0.004
1993,"v",0.024,0.031,0.017
1993,"w",0.001,0.001,0.001
1993,"x",0.002,0.003,0.001
1993,"y",0.011,0.009,0.012
1993,"z",0.006,0.009,0.002
1994,"a",0.109,0.118,0.1
1994,"b",0.03,0.019,0.041
1994,"c",0.047,0.055,0.04
1994,"d",0.069,0.044,0.093
1994,"e",0.028,0.033,0.023
1994,"f",0.031,0.028,0.033
1994,"g",0.022,0.016,0.029
1994,"h",0.012,0.012,0.012
1994,"i",0.017,0.018,0.015
1994,"j",0.072,0.072,0.072
1994,"k",0.026,0.019,0.032
1994,"l",0.083,0.104,0.063
1994,"m",0.105,0.104,0.106
1994,"n",0.057,0.074,0.041
1994,"o",0.009,0.005,0.014
1994,"p",0.032,0.023,0.041
1994,"q",0,0,0
1994,"r",0.049,0.034,0.063
1994,"s",0.114,0.133,0.095
1994,"t",0.033,0.031,0.035
1994,"u",0.002,0.001,0.004
1994,"v",0.03,0.04,0.02
1994,"w",0.003,0.002,0.005
1994,"x",0.001,0.002,0.001
1994,"y",0.011,0.008,0.015
1994,"z",0.004,0.006,0.003
1995,"a",0.115,0.122,0.109
1995,"b",0.024,0.016,0.031
1995,"c",0.047,0.063,0.031
1995,"d",0.066,0.04,0.089
1995,"e",0.034,0.039,0.029
1995,"f",0.039,0.025,0.053
1995,"g",0.028,0.024,0.033
1995,"h",0.013,0.013,0.013
1995,"i",0.016,0.018,0.013
1995,"j",0.066,0.068,0.063
1995,"k",0.026,0.03,0.022
1995,"l",0.08,0.1,0.06
1995,"m",0.097,0.086,0.108
1995,"n",0.058,0.065,0.052
1995,"o",0.013,0.006,0.019
1995,"p",0.028,0.016,0.039
1995,"q",0.001,0,0.001
1995,"r",0.049,0.038,0.059
1995,"s",0.109,0.136,0.084
1995,"t",0.038,0.03,0.045
1995,"u",0.002,0.002,0.002
1995,"v",0.03,0.041,0.02
1995,"w",0.003,0.002,0.004
1995,"x",0.002,0.004,0
1995,"y",0.013,0.009,0.017
1995,"z",0.004,0.008,0.001
1996,"a",0.113,0.117,0.11
1996,"b",0.026,0.02,0.032
1996,"c",0.048,0.057,0.039
1996,"d",0.063,0.039,0.084
1996,"e",0.04,0.043,0.037
1996,"f",0.038,0.031,0.045
1996,"g",0.023,0.023,0.024
1996,"h",0.011,0.014,0.009
1996,"i",0.022,0.022,0.022
1996,"j",0.067,0.062,0.071
1996,"k",0.032,0.029,0.034
1996,"l",0.066,0.083,0.05
1996,"m",0.113,0.117,0.11
1996,"n",0.057,0.065,0.049
1996,"o",0.011,0.007,0.015
1996,"p",0.024,0.01,0.036
1996,"q",0,0,0.001
1996,"r",0.04,0.032,0.046
1996,"s",0.109,0.126,0.094
1996,"t",0.034,0.03,0.038
1996,"u",0.002,0,0.003
1996,"v",0.031,0.046,0.018
1996,"w",0.002,0.002,0.003
1996,"x",0.001,0.001,0.001
1996,"y",0.018,0.014,0.022
1996,"z",0.007,0.009,0.005
1997,"a",0.112,0.129,0.096
1997,"b",0.024,0.019,0.028
1997,"c",0.04,0.051,0.03
1997,"d",0.061,0.041,0.078
1997,"e",0.038,0.044,0.033
1997,"f",0.04,0.032,0.046
1997,"g",0.028,0.027,0.028
1997,"h",0.012,0.014,0.011
1997,"i",0.016,0.017,0.015
1997,"j",0.073,0.072,0.073
1997,"k",0.022,0.021,0.023
1997,"l",0.083,0.094,0.073
1997,"m",0.111,0.094,0.126
1997,"n",0.063,0.072,0.056
1997,"o",0.01,0.009,0.01
1997,"p",0.026,0.015,0.035
1997,"q",0.002,0,0.003
1997,"r",0.047,0.033,0.059
1997,"s",0.096,0.115,0.079
1997,"t",0.041,0.029,0.052
1997,"u",0.002,0.001,0.003
1997,"v",0.028,0.045,0.013
1997,"w",0.003,0.002,0.005
1997,"x",0.002,0.003,0.002
1997,"y",0.012,0.01,0.015
1997,"z",0.007,0.011,0.003
1998,"a",0.126,0.135,0.118
1998,"b",0.027,0.021,0.034
1998,"c",0.043,0.055,0.03
1998,"d",0.056,0.039,0.072
1998,"e",0.04,0.038,0.042
1998,"f",0.037,0.034,0.04
1998,"g",0.027,0.024,0.03
1998,"h",0.017,0.018,0.015
1998,"i",0.017,0.02,0.015
1998,"j",0.069,0.063,0.074
1998,"k",0.024,0.026,0.023
1998,"l",0.092,0.11,0.076
1998,"m",0.1,0.099,0.101
1998,"n",0.052,0.058,0.047
1998,"o",0.01,0.004,0.017
1998,"p",0.021,0.015,0.027
1998,"q",0.002,0.001,0.003
1998,"r",0.038,0.031,0.045
1998,"s",0.11,0.126,0.095
1998,"t",0.034,0.021,0.047
1998,"u",0.001,0.002,0.001
1998,"v",0.028,0.034,0.022
1998,"w",0.003,0.002,0.004
1998,"x",0.002,0.002,0.002
1998,"y",0.015,0.011,0.019
1998,"z",0.006,0.009,0.002
1999,"a",0.12,0.135,0.106
1999,"b",0.029,0.024,0.034
1999,"c",0.041,0.056,0.028
1999,"d",0.057,0.039,0.074
1999,"e",0.044,0.053,0.035
1999,"f",0.038,0.027,0.049
1999,"g",0.021,0.011,0.029
1999,"h",0.016,0.019,0.013
1999,"i",0.02,0.022,0.019
1999,"j",0.078,0.063,0.092
1999,"k",0.028,0.022,0.032
1999,"l",0.093,0.115,0.074
1999,"m",0.103,0.095,0.11
1999,"n",0.055,0.05,0.059
